Key,English,Chinese,Korean,Tagalog,Spanish
do_not_sign_anything,Do not sign anything.,不要签署任何文件。,아무런 서명하지 마세요.,Huwag ka pumirma ng kahit ano.,No firma ningún documento.
do_not_sign_anything_without_lawyer,Do not sign anything without a lawyer.,没有律师的情况下，不要签任何文件。,변호사 없이는 아무런 서명을 하지 마세요.,Huwag kang pumirma ng kahit ano hangga’t wala kang abogado.,No firme ningún documento sin un abogado/a.
do_not_sign_or_answer_questions_without_lawyer,Do not sign any documents or answer questions without an attorney present.,没有律师的情况下，不要签署任何文或回答问题。,변호사 없이 어떤 서류라도 서명하지 말고 질문에 대답하지 마세요.,Huwag pumirma ng kahit anong dokumento o sumagot ng kahit anong tanong pag walang abogado ang naroroon.,No firme ningún documento ni reponda a preguntas si no tenga un abogando presente con usted. 
driving,Driving,开车,운전 중,Tuwing Nagmamaneho,En el carro
emergency_hotline,Emergency Hotline,紧急热线,긴급 핫라인,Hotline para sa Emergency,Línea de emergencia
got_it,Got it!,了解！,알았습니다,Naiintindihan ko!,Entendido!
home,Home,在家,집,Sa Bahay,En su casa
immigration_legal,Immigration and Legal,移民相关法律,이민 관련 법률 서비스,Imigrasyon at Ligal,Inmigración y Legal
immigration_legal_services,Immigration and Legal Services,移民与法律服务,이민 법률 서비스,Imigrasyon at mga serbisyo na ligal,Servicios de inmigración y legales
know_your_rights,Know your rights,知道自己的权力,나의 권리,Alamin ang iyong mga karapatan.,Conozca sus derechos
know_your_rights_caps,Know Your Rights,知道自己的权力,나의 권리,Alamin ang Iyong Mga Karapatan,empty_value
know_your_rights_subtitle,Learn what you can do if ICE is at your door and in other situations,了解您可以做什么，如果美国移民及海关执法局人员在您的家门口，以及在其它情况下。,이민국 직원과 마주쳤을 경우 여러가지 상황과 대처 방법을 알아두세요,Alamin kung ano ang pwede mong gawin pag nasa labas ng bahay mo ang ahente ng ICE at sa iba pang mga sitwasyon.,Aprenda lo que usted puede hacer si ICE está fuera de su casa y lo que puede hacer en otras situaciones. 
language,Language,语言,언어,Wika,Idioma
languages_supported,Languages Supported,语言协助,언어 지원,Sinusuportahan ang mga wike,Idiomas admitidos
learn_more,Learn More,学到更多,더 알아보기,Matuto ng Higit Pa,Aprenda más
must_be_over_13,You must be over the age of 13 to use Fire.,您必须年满13岁才能使用 Fire。,Fire를 사용하려면 13세 이상이어야 합니다.,Dapat ikaw ay higit sa edad na 13 na gumamit ng Fire.,Necesita tener más de 13 años para usar Fire.
next,Next,继续,다음,empty_value,empty_value
non_legal,Non-Legal,非法律,기타 서비스,Hindi Ligal,No legal
non_legal_services,Non-Legal Services,非法律服务,비 법적 서비스,Mga Serbisyong Hindi Ligal,Servicios no legales
notifications,Notifications,通知,알림,Mga Notification,Notificaciones
organizations,Organizations,组织,이민 관련 지원단체,Mga Organisasyon,Organizaciones
partners,Partners,合作伙伴,파트너,Mga kasosyo,Socios
potential_scenarios,Potential Scenarios,可能的情况,대처 해야 할 사항,Mga Potensyal na Sitwasyon,Escenarios posibles
present_card_and_remain_silent,Present your rights card and remain silent.,出示您的权利卡，并保持沉默。,귀하의 권리 카드를 제시하시고 묵비권을 행사 하세요.,Ipakita ang iyong Card ng mga Karapatan at manatiling manahimik.,Presenta su tarjeta de derechos e permanezca en silencio.
present_rights_card,Present your rights card.,出示您的权利卡。,귀하의 권리 카드를 제시하세요.,Ipakita ang iyong Card ng mga Karapatan.,Presenta su tarjeta de derechos a los agentes.
privacy_policy,Privacy Policy,隐私政策,개인 정보 정책,Patakaran ng Privacy,Privacidad
protect_yourself,Protect yourself,保护自己,자기 방어,Protektahan ang iyong sarili.,Protégese a si mismo
protect_yourself_subtitle,"Have quick access to a free emergency hotline to contact, in case you or your loved ones are detained by ICE.",迅速找到免费紧急热线号码，以防您或您的亲人被美国移民及海关执法局逮捕。,귀하의 가족 및 지인이 이민국 요원에게 체포될 경우 긴급 핫라인에 연락하세요,Magkaroon ng mabilis na access sa isang libre na hotline para sa mga emergency na kailangan mo sila i-kontak sakaling na detenihin ka o ang mga mahal mo sa buhay ng ICE.,"Con Fire, tiene aceso a una línea de emergencia para contactar en caso de que usted o un ser querido está detenido por ICE."
public_transit,Public Transit,在公交上,대중교통,Sa Pampublikong Transportasyon,En transito público
remain_silent_and_wait_to_speak_to_attorney,Remain silent and wait to speak to an attorney.,保持沉默，等待与律师交谈。,묵비권을 행사하시고 변호사와 상담을 기다리세요.,Manahimik ka at maghintay para makipag-usap sa isang abogado.,Permanezca en silencio y no habla sin un abogado.
remember_to_remain_silent,"Remember, you have the right to remain silent! If you speak, do not lie.",请记住， 您有权力保持沉默！ 如果您要说话，不要说谎。,귀하는 묵비권을 행사할 권리가 있습니다. 말을 해야할 경우 거짓말 하지 마세요.,"Tandaan mo, meron kang karapatan na tumahimik. Kung kailangan mong magsalita, huwag ka magsinungaling.","Tiene el derecho de permanecer en silencio. Si hable, no mienta."
resources,Resources,资源,지원단체,Mga Mapagkukunan,Recursos
resources_description__aaaj,"Asian Americans Advancing Justice-LA advocates for civil rights, provides legal services and education, and builds coalitions to positively influence and impact Asian Americans and Pacific Islanders.",亚美公益促进中心-洛杉矶，倡导公民权利、提供法律服务和教育、建立联盟并积极影响亚裔美国人和太平洋岛民。,"Asian Americans Advancing Justice-LA (아시아계 미국인 정의 진흥)은 시민권 옹호, 법률서비스 및 교육을 제공하고 긍정적인 영향을 미치는 연합을 구축함으로써 아시아계 미국인과 태평양 섬 주민들에게 도움을 준다.","Ang Asian Americans Advancing Justice-LA ay nagtataguyod para sa mga karapatang sibil, nagbibigay ng mga ligal na serbisyo at edukasyon, at gumagawa ng mga koalisyon na nagbibigay ng positibong impluwensya at epekto sa mga Asian Americans at Pacific Islanders.",Asian Americans Advancing Justice-LA (o Asiáticos americanos para justicia en LA) defende los derechos civiles y proporciona servicios legales y de educación. También crea uniones para mejorar la vida de americanos asiáticos y los isleños del pacífico. 
resources_description__carecen,"Central American Resource Center (CARECEN) empowers Central Americans by defending human and civil rights, working for social and economic justice, and promoting cultural diversity. The CARECEN Legal Department offers a wide range of immigration legal services. Most services are provided after legal consultation.",中美洲资源中心 （CARECEN）通过捍卫人权和公民权利，争取社会和经济正义以及促进文化多样性来赋予中美洲人权力。CARECEN的法律部提供广泛的移民法律服务。 大多数服务是在法律咨询后提供的。,CARECEN (중앙 아메리카인 재원 센터)은 인권과 시민의 권리를 보호하고 사회 및 경제적 정의를 위해 노력하며 문화적 다양성을 증진함으로써 중앙 아메리카 인들에게 도움을 준다. CARECEN 법무 부서는 광범위한 이민 법률 서비스를 제공한다. 대부분의 서비스는 법률 상담 후 제공된다.,"Ang Central American Resource Center (CARECEN) ay nagbibigay lakas sa mga Central Americans. Ginagawa nila ito sa sa pamamagitan ng pagdepensa ng mga karapatang pangtao at sibil, sa paglaban para sa katarungang panlipunan at pang-ekonomiya, at sa pagtaguyod ng pagkakaiba ng mga kultura. Nagbibigay ang CARECEN Legal Department ng madaming ligal na serbisyo hinggil sa imigrasyon. Karamihan ng mga serbisyo nila ay ibinibigay pagkatapos ng ligal na kosultasyon.","Central American Resource Center (CARECEN) empodera a todos los inmigrantes a través de la defensa de los derechos humanos y civiles, el trabajo por la justicia social y económica, y la promoción de la diversidad cultural. El departamento legal de CARECEN ofrezca una variedad de servicios legales de inmigración. La mayoría de los servicios son dispuestos después de una consultación legal."
resources_description__chirla,"The Coalition for Humane Immigrant Rights (CHIRLA) is a California leader with national impact made of diverse immigrant families and individuals who act as agents of social change to achieve a world with freedom of mobility, full human rights, and true participatory democracy. We seek to achieve a just society fully inclusive of immigrants. We organize and serve individuals, institutions and coalitions to build power, transform public opinion, and change policies to achieve full human, civil and labor rights. ",人道移民权利联盟 （CHIRLA）是一个加利福尼亚州的领导组织，具有国家影响力，由各种各样的移民家庭和个人组成。他们是社会变革的推动者，以实现一个拥有迁徙自由，充分人权和真正参与性民主的世界。 我们力求建立一个完全包含移民的公正社会。 我们组织并为个人、机构和联盟提供服务。我们建立权力，转变民意并改变政策，以实现充分的人权，公民权利和劳工权利。,"CHIRLA(인도적 이민자 권리 연합)은 이민자를 온전히 포괄하는 정당한 사회를 이루기 위해 노력한다. CHIRLA는 개인, 기관 및 연합을 조직하고 봉사하여 완전한 인권 및 노동권을 달성하기 위해 여론을 변화 시키며 정책을 변경하기 위해 일한다.","Ang Coalition for Human Immigration Rights (CHIRLA) ay isang pambansang pinunong organisasyon sa California. Pinagkabuo ito ng mga magkakaibang migranteng pamilya at mga taong gumaganap bilang ahente ng pagbabago sa lipunan upang makamit ang isang mundo na may kalayaan ng kadaliang kilos, kumpletong karapatang pantao, at tunay na demokrasya. Nais naming makamit ang isang makatarungang lipunan na napapabilang ang mga migrante. Tumutulong kami sa mga tao, institusyon, at koalisyon para bumuo ng kapangyarihan, para baguhin ang opinyon ng publiko, at para baguhin ang mga patakaran upang makamit ang buong karapatang pantao, sibil, at paggawa.","La coalición para derechos humanos para inmigrantes (CHIRLA) es compuesto de familias y indivíduos inmigrantes que se comportan como agentes de cambio social para lograr un mundo con libertad de movilidad, derechos humanos, y verdadera participación democrática. Queremos lograr una sociedad justa que incluye los inmigrantes completamente. Organizamos y servimos indivíduos, instituciones y coaliciones para aumentar poder, transformar la opinion pública, y cambiar la política para lograr derechos humanos, civiles y económicos. "
resources_description__immdef,"The Immigrant Defenders Law Center advances social justice for Southern California's most marginalized immigrant and refugee communities through legal services, community empowerment, and advocacy for adults and children in federal immigration custody and their families. The Immigrant Defenders Law Center's objective is to preserve families and communities by empowering individuals to know their rights in the immigration system, providing access to legal representation, and advocating for social change.",移民捍卫者法律中心通过法律服务，社区赋权以及对联邦移民监护权中的成年人和儿童及其家人的提倡，提高南加州最边缘化的移民和难民社区的社会正义。移民捍卫者法律中心的目标是通过授权个人了解其在移民系统中的权利，提供获得法律代理权的机会以及倡导社会变革来保护家庭和社区。,Immigrant Defenders Law Center (이민자 보호 법률 센터)는 남부 캘리포니아에서 가장 소외된 이민자 및 난민 커뮤니티를 옹호하고 정의 사회를 발전시킨다. 이민자 보호 법률 센터의 목표는 개인이 이민 제도에 대한 자신의 권리를 알 수 있도록 권한을 부여하고 구금된 가족의 성인과 어린이들한테 법률 서비스를 제공 한다.,"Ang Immigrant Defenders Law Center ay sumusulong para sa katarungang panlipunan ng mga pinaka-naaaping komunidad ng mga migrante at mga refugee. Ginagawa nila ito sa pamamagitan ng mga ligal na serbisyo, sa pagbigay ng kapangyarihan sa komunidad, at sa pagtatanggol ng mga matanda at mga bata na nasa kustodyang pederal para sa mga migrante. Ang layunin ng Immigrant Defenders Law Center ay mapanatili ang mga pamilya at mga komunidad sa pamamagitan ng pagturo ng mga karapatan tungkol sa imigrasyon, sa pagbigay ng ligal na representasyon, at sa pagsulong para sa pagbabago sa lipunan.","The Immigrant Defenders Law Center (o Defendores de los inmigrantes centro legal) avanza justicia social para las comunidades refugiadas y inmigrantes más marginalizadas en California del Sur. Les apoya con servicios legales, empoderamento de la comunidad, y apoyo para adultos y niños en la detención de ICE. El centro legal quiere preservar familias y comunidades con la aprendizaje de derechos en el sistema de inmigración, aceso a representación legal, y con abogacía social. "
resources_description__krc,"The Korean Resource Center was founded in 1983 to empower Korean American community, low-income immigrant and people of color communities through a holistic model that combines education, social services, and culture with effective community advocacy and organizing. KRC is guided by the principles Live Rightly, Know our Roots, Empower Ourselves, and Live in Harmony.",韩国资源中心成立于1983年，通过将教育，社会服务和文化与有效的社区倡导和组织相结合的整体模式，为韩裔美国人社区，低收入移民和有色人种赋予权力。 KRC遵循“正确生活，了解我们的根源，赋予自己力量和和谐生活”的原则。,"민족학교(KRC)는 1983년 설립 되어 경제적, 사회적으로 어려움을 겪는 저소득층 가정 및 이민자 커뮤니티의 발전과 권익을 위해 노력합니다. 또한 정의롭고 인도적인 미국 사회 건설을 위해 여러 유색인종 및 이민자 커뮤니티와의 연대 강화에 힘쓰고 있습니다.
 커뮤니티 권익 향상을 위해 봉사, 교육, 문화, 조직 및 사회 참여, 그리고 다양한 커뮤니티와 연대 활동을 펼치고 있습니다.","Ang Korean Resource Center ay itinayo noon 1983 para sa mga komunidad na Korean-American, sa mga migranteng mababang kita, at mga taong hindi puti. Gumagamit sila ng isang modelong pinagsasama ang edukasyon, serbisyong panlipunan, at kultura, dagdag sa adbokasiya at pakikibaka sa komunidad. Sinusunod ng KRC ang mga sumusunod na prinsipyo: Mabuhay ng Tama, Alamin ang Ating Pinagmulan, Bigyan ng Kapangyarihan ang Ating Sarili, at Mabuhay sa Pagkakaisa.","The Korean Resource Center (o El centro koreano de recursos) fue fundado en 1983 para empoderar a la comunidad koreana americana, comunidades de bajos recursos economicos y de personas de color con un modelo que combina educación, servicios sociales, y cultura con abogacía efectiva. KRC es guiado por estos principios: Conozca sus derechos, viva correctamente, empoderamos a nosotros, y viva en armonía."
resources_description__usc,"The Immigration Clinic at the USC Gould School of Law provides pro bono representation. We provide representation to people seeking asylum, withholding of removal and CAT protection. We represent clients at the Adelanto Detention Center and Musick Jail. We occasionally also provide representation at other detention facilities, including Rio Cosumnes Correctional Center, Mesa Verde Detention Center, Cibola County Correctional Center. We focus on persons in ICE detention. We assist LGBT asylum seekers. We also provide assistance with naturalization and with other remedies such as VAWA petitions.",南加州大学古尔德法学院的移民诊所提供无偿代表。 我们向寻求庇护，暂缓遣返和禁止CAT保护的人员提供代表。 我们在阿德兰托拘留中心和Musick监狱中代表客户。 我们有时还会在其他拘留设施中提供代表，包括里约·科苏梅内斯教养中心，梅萨维德教养中心，西博拉县教养中心。 我们着重于被ICE拘留的人。 我们协助LGBT寻求庇护者。 我们还为入籍和其他补救措施（例如VAWA请愿书）提供帮助。,"USC Gould School of Law의 이민 클리닉은 대변인을 대표하는 단체입니다. 우리는 망명 신청, 추방 보류 및 CAT 보호를 대변합니다. 우리는 Adelanto, Musick Jail, Rio Cosumnes Correctional Center, Mesa Verde Detention Center 및 Cibola County Correctional Center에 구금되어 있는 사람들도 대변합니다. 특희 ICE에 구금되어있는 이민자들에게 중점을 둡니다. LGBT 망명 신청자, 귀화 및 VAWA 청원서와 같은 다른 구제책에 대한 지원도 제공합니다.","Ang Immigration Clinic ng USC Gould School of Law ay nagbibigay ng pro bono representasyon (libreng ligal na trabaho para sa mga taong maliit ang kita) sa mga tao na naghahanap ng asylum, ng pagpigil sa pagtanggal, at ng proteksyon laban sa CAT. Kinakatawan namin ang mga kliente sa Adelanto Detention Center at Musick Jail. Nagbibigay din kami ng representasyon sa mga iba't ibang pasilidad ng detensyon, tulad ng Rio Cosumnes Correctional Center, Mesa Verde Detention Center, at Cibola Country Correctional Center. Nakatuon kami sa mga tao na nasa detensyon sa ICE. Tinutulungan namin ang mga LGBT na naghahanap ng asylum. Nagbibigay din kami ng tulong sa naturalization at iba pang mga remedyo tulad ng mga petisyon ng VAWA.","La clínica de inmigración en la escuela Gould de ley en USC provée representación legal pro bono. Nosotros ofrecemos representación a personas buscando asilo, evitando deportación y eliminación de la protección CAT. Representamos clientes en el centro de detención Adelanto y el cárcel Musick. A veces ofrecemos representación en otros lugares, como Rio Cosumnes Correcitional Center, Mesa Verde Detention Center, y Cibola County Correctional Center. Prestamos atención en personas en la detención de ICE. Ayudamos a personas LGBTQ que buscan asilio. También provéemos auxilio con la naturalización (la ciudadania) y otros remedios como la petición VAWA.  "
rights,Rights,权力,권리,Mga Karapatan,Derechos
rrn_partners,Rapid Response Network Partners,迅速回应网络合作伙伴,신속대응 네트워크 파트너,Bilis na pag responde sa mga Network Partners,Socios de la red de respuesta rápida
say_you_deny_search,"Say ""I deny consent to search my home.""",说：“我不同你们意搜查我的家”,"""가택 수색에 동의하지 않는다""라고 말하세요.","Sabihin mo, “Tinatanggihan ko ang pahintulot sa paghahalughog ng aking bahay”",Diga: No consiento su registro mi casa.
scenarios,Scenarios,情况,여러가지 상황,Mga Senaryo,Escenarios posibles
scenarios_description,Know your rights in different spaces,了解您在不同的情况下的权利,만일의 경우를 대비해서 귀하의 기본 권리를 숙지하세요,Alamin ang iyong mga karapatan sa iba't ibang lugar.,Conozca sus derechos en lugares específicos. 
select_hotline,Select an emergency hotline,选择紧急热线,긴급 핫라인을 선택하세요,Pumili ng isang emerhensya na hotline,Escoja una línea de emergencia.
select_hotline_subtitle,Select the emergency hotline that's closest to where you spend the most time.,选择离您呆的时间最长的地方，最近的紧急热线,귀하의 가장 많은 시간을 보내는 곳에서 가까운 긴급 핫라인을 선택하십시오.,Piliin ang isang emerhensya na hotline na pinakamalapit sa kung saan ka gumugugol ng pinakamadaming oras.,Escoja la línea de emergencia que está más cercano a los lugares en que estés la mayoría de su día.
select_language,Select your language,选您的语言,언어를 선택하세요,Piliin ang iyong wika:,Escoja su idioma
select_language_subtitle,You can change your language later in settings too!,您也可以稍后在”设置“中改变语言！,나중에 설정에서 언어를 변경할 수 있습니다!,Pwede rin ibago ang iyong wika sa settings mamaya!,¡Puede cambiar el idioma después en configuración también!
select_scenario,Select a scenario:,选一个情况:,상황을 선택 하세요:,Pumili ng isang senaryo:,Escoge un escenario:
services,Services,服务,서비스,Mga Serbisyo,Servicios
services_legal__adjustment_of_status,Adjustment of Status,调整身份,신분변경,Pagsasaayos sa katayuan,Ajuste de estado
services_legal__asylum,Asylum applications,难民申请,망명신청,Aplikasyon sa Pagpapakupkop,Solicitudes de asilo
services_legal__consular_processing,Consular Processing,领事馆程序,영사 처리,Pagproseso ng Konsular,Proceso consular
services_legal__daca,DACA (Deferred Action for Childhood Arrivals),童年入境者暂缓遣返手续,서류미비 청소년 추방유예,DACA (Ipinagpaliban na Pagkilos Para sa Pagdating ng Bata),DACA (Acción Diferida para Llegados desde la Infancia)
services_legal__employment,Employment authorization,工作许可,고용 허가,Pahintulot sa Trabaho,Permiso de trabajo
services_legal__family_petitions,Family-based petitions,亲属移民,가족 기반 이민,Panhintulot na batay ng pamilya,Peticiones familiares
services_legal__nacara,NACARA (Nicaraguan Adjustment and Central American Relief Act),尼加拉瓜调整和中美洲获释法案,니카라구아 및 중미 신분 조정 법안,NACARA (Pagsasaayos ng NIcaraguan at Mga Batas Sentral at pagluluwas,La Ley de Ajuste de Nicaragua y Ayuda a Centroamérica (NACARA)
services_legal__naturalization_citizenship,Naturalization/Citizenship,公民入籍,귀화 / 시민권,Naturalisasyon/Pagkamamamayan,Naturalización / Ciudadanía
services_legal__removal_hearings,Removal hearings,遣送听证,추방청문회,Mga Pagdinig sa Pag-aalis,Audiencias de deportación
services_legal__special_immigrant_juvenile_status,Special Immigrant Juvenile Status,特殊移民青少年身份,청소년 신분 특별 이민,Espesyal na Katayuan na Imigrante na Juvenile,Estado Especial de Inmigrante Juvenil
services_legal__t_visa,T visa,T签证,인신 매매 피해자 비자,T visa,Visa T
services_legal__tps,TPS (Temporary Protected Status),临时保护身份,임시 보호 신분,TPS (Pansamantalang Protektadong Katayuan,TPS (estado de protección temporal)
services_legal__u_visa,U visa,U 签证,범죄 피해자 비자,U visa,Visa U
services_legal__vawa,VAWA (Violence Against Women Act) petitions,VAWA (反暴力侵害妇女法) 申请,가정폭력 피해자 이민 신청,VAWA (Petisyon ng Karahasan Laban sa Women Act),Peticiones VAWA (Ley de violencia contra las mujeres)
services_nonlegal__administrative_advocacy,Administrative advocacy (CIS/ICE/CBP),行政宣传 (美国公民及移民局/美国移民及海关执法局/美国海关及边境保护局),행정 옹호,Tagapagtaguyod ng Adbokasiya (CIS/ICE/CBP),empty_value
services_nonlegal__afterschool_program,After-school and summer educational programs,课后与暑期教育活动,"방과후, 여름방학 교육 프로그램",Mga programang pang edukasyon pagkatapos ng paaralan at tag-init,empty_value
services_nonlegal__citizenship_civics_classes,Citizenship / Civics classes,公民入籍课程,시민권 / 국민 윤리 수업,Mga klase sa pagkamamamayan/Sibika,empty_value
services_nonlegal__college_application_assistance,College Application assistance,大学申请协助,대학 입학 신청 보조,Tulong sa aplikasyon sa kolehiyo,empty_value
services_nonlegal__esl,ESL,英语课,제 2의 언어로서의 영어,ESL,empty_value
services_nonlegal__health_services,Health services,健康服务,의료 서비스,Serbisyong pangkalusugan,empty_value
services_nonlegal__housing_referrals,Housing referrals,房屋问题咨询,거주지 소개,Mga reperal sa pabahay,empty_value
services_nonlegal__housing_services,Housing services (rental & foreclosure counseling),房屋服务 (租赁 & 丧失抵押品赎回权咨询),"주택 서비스( 임대, 압류 상담)",Mga serbisyo sa pabahay (payo sampag-upa at foreclosure),empty_value
services_nonlegal__know_your_rights_presentations,Know Your Rights Presentations (KYR),知道自己的权力,당신의 권리를 아십시요 발표,Alamin ang iyong pagtatanghal ng mga Karapatan,empty_value
services_nonlegal__language_services,Language services,语言服务,언어 서비스,Mga serbisyo sa wike,empty_value
services_nonlegal__legal_orientation_programs,Legal Orientation Programs (LOP),法律讲座与咨询,법률 지도 프로그램,Mga programang ligal na oryentasyon,empty_value
services_nonlegal__legislative_advocacy,Legislative advocacy (state or national),立法倡导（州或国家）,입법 옹호 (주 또는 국가),empty_value,empty_value
services_nonlegal__organizing,"Organizing (day laborers, parents, youth)",组织 (日工，父母，青年),"조직하다 ( 일꾼, 학부모,청소년)","Pag-oorganisa (manggagawa, mga magulang, kabataan)",empty_value
services_nonlegal__referrals_to_other_services,Referrals to other services,其它服务介绍,다른 서비스로 소개,Mga reperal sa iba pang serbisyo,empty_value
services_nonlegal__social_services,Social services,社会服务,사회 복지 서비스,Mga serbisyong panlipunan,empty_value
settings,Settings,设置,설정,Mga Setting,Configuración
